img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
Q_009_00265.JPG,Q_009_00267.JPG,0.8188,2.738,0.000,0.000,0.999,0.999
Q_009_00266.JPG,Q_009_00268.JPG,0.7798,2.747,0.000,0.000,0.999,0.999
Q_009_00267.JPG,Q_009_00269.JPG,0.8411,2.797,0.000,0.000,0.999,0.999
Q_009_00268.JPG,Q_009_00270.JPG,0.9355,2.940,0.000,0.002,0.999,0.999
Q_009_00269.JPG,Q_009_00271.JPG,0.9089,3.100,0.000,0.034,0.999,1.000
Q_009_00270.JPG,Q_009_00272.JPG,0.7740,2.244,0.001,0.030,0.999,1.000
Q_009_00271.JPG,Q_009_00273.JPG,0.7838,3.339,0.000,0.001,0.980,0.997
Q_009_00272.JPG,Q_009_00274.JPG,0.7527,3.419,0.000,0.000,0.997,0.997
Q_009_00273.JPG,Q_009_00275.JPG,0.7633,2.996,0.001,0.004,0.996,0.999
Q_009_00274.JPG,Q_009_00276.JPG,0.7313,3.043,0.001,0.005,0.997,1.000
Q_009_00275.JPG,Q_009_00277.JPG,0.8391,2.882,0.000,0.000,1.000,1.000
Q_009_00276.JPG,Q_009_00278.JPG,0.7865,22.527,0.001,0.331,0.400,0.753
Q_009_00277.JPG,Q_009_00279.JPG,0.8014,5.169,0.000,0.018,0.544,0.999
Q_009_00278.JPG,Q_009_00280.JPG,0.7709,5.634,0.000,0.000,0.544,0.942
Q_009_00279.JPG,Q_009_00281.JPG,0.9091,4.041,0.000,0.106,0.776,0.987
Q_009_00280.JPG,Q_009_00282.JPG,0.8430,2.959,0.000,0.060,0.999,0.999
Q_009_00281.JPG,Q_009_00283.JPG,0.9228,3.009,0.000,0.049,0.999,0.999
Q_009_00282.JPG,Q_009_00284.JPG,0.7865,2.815,0.000,0.000,0.999,0.999
Q_009_00283.JPG,Q_009_00285.JPG,0.7446,2.808,0.001,0.005,0.996,0.999
Q_009_00284.JPG,Q_009_00286.JPG,0.7812,2.820,0.001,0.004,0.996,0.997
