img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
H_009_00240.JPG,H_009_00242.JPG,0.9774,2.509,0.001,0.006,0.998,0.999
H_009_00241.JPG,H_009_00243.JPG,0.9794,2.502,0.001,0.005,0.998,1.000
H_009_00242.JPG,H_009_00244.JPG,0.9687,2.510,0.001,0.005,0.997,0.999
H_009_00243.JPG,H_009_00245.JPG,0.9710,2.535,0.001,0.007,0.996,0.999
H_009_00244.JPG,H_009_00246.JPG,0.9631,2.521,0.001,0.006,0.996,0.999
H_009_00245.JPG,H_009_00247.JPG,0.9396,2.501,0.001,0.006,0.997,0.999
H_009_00246.JPG,H_009_00248.JPG,0.9431,2.504,0.001,0.009,0.997,0.999
H_009_00247.JPG,H_009_00249.JPG,0.7753,2.230,0.000,0.333,0.998,0.998
H_009_00248.JPG,H_009_00250.JPG,0.7758,2.369,0.000,0.250,0.998,0.999
H_009_00249.JPG,H_009_00251.JPG,0.9807,2.491,0.000,0.039,0.998,0.999
H_009_00250.JPG,H_009_00252.JPG,0.9695,2.544,0.001,0.004,0.998,1.000
H_009_00251.JPG,H_009_00253.JPG,0.9661,2.545,0.000,0.001,1.000,1.000
H_009_00252.JPG,H_009_00254.JPG,0.8141,2.582,0.000,0.002,0.997,1.000
H_009_00253.JPG,H_009_00255.JPG,0.7684,2.661,0.001,0.003,0.999,1.000
H_009_00254.JPG,H_009_00256.JPG,0.7312,2.696,0.000,0.001,1.000,1.000
H_009_00255.JPG,H_009_00257.JPG,0.7596,2.614,0.003,0.006,0.998,0.999
H_009_00256.JPG,H_009_00258.JPG,0.7399,2.565,0.000,0.002,0.999,1.000
H_009_00257.JPG,H_009_00259.JPG,0.9273,2.584,0.001,0.005,0.999,1.000
H_009_00258.JPG,H_009_00260.JPG,0.9573,5.222,0.071,0.407,0.912,0.970
H_009_00259.JPG,H_009_00261.JPG,0.9132,2.570,0.001,0.124,0.987,0.999
H_009_00260.JPG,H_009_00262.JPG,0.9092,2.447,0.001,0.006,0.999,0.999
H_009_00261.JPG,H_009_00263.JPG,0.9479,2.462,0.001,0.006,0.998,0.999
H_009_00262.JPG,H_009_00264.JPG,0.9071,2.512,0.001,0.005,0.999,1.000
H_009_00263.JPG,H_009_00265.JPG,0.8716,2.514,0.000,0.003,0.999,1.000
H_009_00264.JPG,H_009_00266.JPG,0.7372,2.525,0.000,0.003,1.000,1.000
H_009_00265.JPG,H_009_00267.JPG,0.7365,2.978,0.000,0.002,0.997,0.998
H_009_00266.JPG,H_009_00268.JPG,0.7369,2.766,0.001,0.007,0.999,1.000
H_009_00267.JPG,H_009_00269.JPG,0.7449,2.479,0.000,0.002,0.999,1.000
H_009_00268.JPG,H_009_00270.JPG,0.7421,2.441,0.001,0.003,0.999,1.000
H_009_00269.JPG,H_009_00271.JPG,0.7378,2.417,0.001,0.006,0.999,0.999
H_009_00270.JPG,H_009_00272.JPG,0.8475,2.365,0.002,0.078,0.999,1.000
H_009_00271.JPG,H_009_00273.JPG,0.8688,2.421,0.001,0.006,0.999,1.000
H_009_00272.JPG,H_009_00274.JPG,0.8998,2.385,0.001,0.006,0.999,1.000
H_009_00273.JPG,H_009_00275.JPG,0.8722,2.478,0.002,0.003,1.000,1.000
H_009_00274.JPG,H_009_00276.JPG,0.7747,2.460,0.001,0.004,0.999,1.000
H_009_00275.JPG,H_009_00277.JPG,0.8575,2.310,0.001,0.064,0.999,1.000
H_009_00276.JPG,H_009_00278.JPG,0.7846,4.447,0.001,0.008,0.643,0.998
H_009_00277.JPG,H_009_00279.JPG,0.9371,86.789,0.000,0.004,0.339,0.667
H_009_00278.JPG,H_009_00280.JPG,0.7312,1.410,0.105,0.833,1.000,1.000
H_009_00279.JPG,H_009_00281.JPG,0.8946,2.265,0.002,0.210,0.999,1.000
H_009_00280.JPG,H_009_00282.JPG,0.8471,2.409,0.002,0.015,1.000,1.000
H_009_00281.JPG,H_009_00283.JPG,0.7869,2.458,0.000,0.003,0.999,1.000
H_009_00282.JPG,H_009_00284.JPG,0.8052,2.403,0.000,0.003,1.000,1.000
H_009_00283.JPG,H_009_00285.JPG,0.7771,2.446,0.001,0.006,0.999,1.000
H_009_00284.JPG,H_009_00286.JPG,0.7747,2.427,0.000,0.007,0.999,1.000
H_009_00285.JPG,H_009_00287.JPG,0.8892,2.438,0.000,0.008,0.998,1.000
H_009_00286.JPG,H_009_00288.JPG,0.9641,2.561,0.001,0.039,0.978,0.999
H_009_00287.JPG,H_009_00289.JPG,0.9551,2.498,0.001,0.006,0.998,0.999
H_009_00288.JPG,H_009_00290.JPG,0.9492,2.460,0.001,0.006,0.998,0.999
H_009_00289.JPG,H_009_00291.JPG,0.9082,2.479,0.000,0.002,1.000,1.000
H_009_00290.JPG,H_009_00292.JPG,0.8614,2.517,0.000,0.002,0.999,1.000
H_009_00291.JPG,H_009_00293.JPG,0.7462,2.514,0.000,0.003,0.999,1.000
H_009_00292.JPG,H_009_00294.JPG,0.7555,2.504,0.000,0.003,0.999,1.000
H_009_00293.JPG,H_009_00295.JPG,0.7631,2.486,0.002,0.003,0.999,1.000
H_009_00294.JPG,H_009_00296.JPG,0.7442,2.748,0.000,0.002,1.000,1.000
H_009_00295.JPG,H_009_00297.JPG,0.7397,2.938,0.000,0.000,0.998,0.999
H_009_00296.JPG,H_009_00298.JPG,0.7659,2.380,0.002,0.003,0.999,0.999
